X--Trace 4::[V(17) | V(PreAmp)],Y--Trace 4::[V(17) | V(PreAmp)]
10,45.6995761541235
12.5892541179417,50.9488958392779
15.8489319246111,55.3686277254648
19.9526231496888,58.8301631936663
25.1188643150958,61.3800022500027
31.6227766016838,63.1703134886346
39.8107170553497,64.3838773561901
50.1187233627272,65.1864777114665
63.0957344480194,65.7084731930716
79.4328234724282,66.0441513473389
100,66.2582904327985
125.892541179417,66.3939607343443
158.489319246111,66.4791673477867
199.526231496888,66.5317865871477
251.188643150958,66.5629697497456
316.227766016838,66.5793657816648
398.107170553498,66.5844828008621
501.187233627273,66.5794173686308
630.957344480194,66.5630839889284
794.328234724282,66.5319879223237
1000,66.4794986559993
1258.92541179417,66.3944920141101
1584.89319246112,66.2591325096249
1995.26231496888,66.0454763614869
2511.88643150958,65.7105434509704
3162.27766016838,65.1896826119142
3981.07170553498,64.3887722624661
5011.87233627273,63.1776412013512
6309.57344480194,61.3906556206524
7943.28234724283,58.8450272735716
10000,55.3882609293845
12589.2541179417,50.9731256586617
15848.9319246112,45.7272604600021
19952.6231496888,39.9607470799902
25118.8643150958,34.0844496724817
31622.7766016839,28.4843449235394
39810.7170553498,23.4295958635387
50118.7233627273,19.0502479598001
63095.7344480195,15.3653597179626
79432.8234724283,12.326272205526
100000,9.8529897767022
